Y, X, caps_nmmb01, caps_nmmb02, caps_nmmb03, caps_nmmb04, caps_nmmb05, caps_nmmb_rad, core01_arw, core03_arw, core04_arw, core05_arw, core06_arw, core07_arw, core08_arw, core09_arw, core10_arw, s_phys_rad02_arw, s_phys_rad03_arw, s_phys_rad04_arw, s_phys_rad05_arw, s_phys_rad06_arw, s_phys_rad07_arw, s_phys_rad08_arw, s_phys_rad09_arw, s_phys_rad10_arw,,best value,,model 1 mae,,difference
0,19,35.69319661,37.9903228,36.54684502,38.8676201,43.94342791,37.12327817,0.132890904,2.49E+36,1.799108473,6.04E+35,3.12E+36,1.758279165,0.108687505,3.047642735,2.81470693,0.70686668,0.394555551,0.12401363,0.183250001,0.454190016,0.194088249,0.338648478,1.072937933,0.548177825, ,0.108687505,,4.352634157,,-4.243946652
0,20,28.76243843,32.89145581,36.5900657,28.31938514,37.73531186,30.42826916,0.400091893,2.27E+36,2.744275037,4.86E+35,2.27E+36,1.753677195,1.198568702,0.927937099,2.993400009,4.845489502,0.703193954,0.906883855,1.359613948,1.105955548,1.174555567,1.646744481,0.714957101,0.758560844, ,0.400091893,,5.389232767,,-4.989140874
0,21,15.61299379,17.76721738,21.15332218,13.80310701,25.82702353,14.72438061,1.596019023,2.17E+36,19.86695821,3.83E+35,2.62E+36,1.937723796,10.5291949,2.24269011,2.713622482,1.076173782,17.55617778,0.743117234,2.563127078,2.340938992,9.517811495,2.146716563,0.819515991,1.915746102, ,0.743117234,,5.823554087,,-5.080436854
0,22,40.5198207,64.20320278,62.62765791,102.7035488,65.10144479,67.28639648,147.2040405,2.32E+36,88.89771987,4.07E+35,1.95E+36,53.89624649,93.56701208,94.44560843,36.79277886,22.60362625,100.3680556,18.768809,43.95570475,38.70425907,108.1813558,104.3172607,125.8168006,55.43157959, ,18.768809,,64.89281766,,-46.12400866
0,23,94.01358851,162.6358346,181.7211238,114.6351944,150.0920233,121.0688846,284.6514757,2.17E+36,69.04964436,5.25E+35,2.08E+36,177.7293294,144.7544822,180.2125122,116.4116211,139.4607231,117.4520375,107.9352185,181.6883545,125.0628255,174.0300781,192.0420559,193.9237342,131.5662152, ,69.04964436,,97.46938033,,-28.41973597
0,24,398.170178,373.4581473,428.9191895,307.1852705,225.2317443,269.5627441,289.5431431,1.63E+36,90.71076118,3.32E+35,1.72E+36,243.8310547,135.0668669,405.4660528,180.1459057,200.6570502,190.4647118,215.5711806,192.6724537,107.5230516,347.4500977,192.1962433,212.0488712,226.0289714, ,90.71076118,,73.64320921,,17.06755197
0,25,341.0730909,422.0315978,240.4139135,330.0818302,238.1721094,310.0661515,290.1048263,1.63E+36,93.37320524,3.22E+35,1.81E+36,205.4777753,66.61575162,415.1479193,84.59157493,481.4336496,147.6459473,115.0175934,287.7964015,123.9347257,311.2044613,94.48583984,206.4120379,89.40138646, ,66.61575162,,82.56440706,,-15.94865544
0,26,359.5980808,270.0409712,224.1071585,376.5793287,328.2479795,226.3761636,266.5020898,1.72E+36,74.16093023,2.22E+35,1.75E+36,153.1357184,61.43058989,223.2289283,138.4148247,284.9659477,85.33403764,74.86630963,135.8474528,160.0872613,231.0310547,89.00651042,240.1394857,108.4089143, ,61.43058989,,97.53767136,,-36.10708147
0,27,351.1916526,410.3941051,497.516659,669.0457589,381.8306526,462.4526459,357.709668,9.32E+35,77.31241653,1.76E+35,9.97E+35,129.464082,174.744873,466.0063734,107.5943099,98.95244892,108.85276,149.6828216,126.9989838,285.6002413,177.4633377,153.1866187,244.8557675,161.7078003, ,77.31241653,,188.3015485,,-110.989132
0,28,774.2384454,581.0890367,578.375,724.1783633,669.366393,733.9717391,514.9450247,8.52E+35,111.680412,1.61E+35,9.32E+35,272.5360689,215.7425478,374.1108443,118.9526693,258.9620455,174.3141999,423.2105655,271.1749557,625.2297247,349.1025905,254.3294202,336.7902938,111.519604, ,111.519604,,392.1525151,,-280.6329111
